ID,Test Name,Year,Session,Subject,Number,Question,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트,Question_image
1,소방설비기사(기계분야),2014,1,소방유체역학,28,"호주에서 무게가 20N 인 어떤 물체를 한국에서 재어보니 19.8N 이었다면 한국에서의 중력가속도는 약 몇 m/s$^2$인가? (단, 호주에서의 중력가속도는 9.82m/s$^2$이다.)",,9.72,9.75,9.78,9.8,1,1,Claude Sonnet 4,300,0,1,0.0,1.98,1.98,176,10,186,중간,0.000678,N/A,False,"주어진 정보:
-","문제: 호주에서 무게가 20N 인 어떤 물체를 한국에서 재어보니 19.8N 이었다면 한국에서의 중력가속도는 약 몇 m/s$^2$인가? (단, 호주에서의 중력가속도는 9.82m/s$^2$이다.)

선택지:
1. 9.72
2. 9.75
3. 9.78
4. 9.8

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
2,소방설비기사(기계분야),2017,4,소방기계시설의 구조 및 원리,74,"특별피난계단의 계단실 및 부속실 제연설비의 비상전원은 제연설비를 유효하게 최소 몇 분 이상 작동할 수 있도록 하여야 하는가? (단, 층수가 30층 이상 49층 이하인 경우이다.)",,20,30,40,60,3,2,Claude Sonnet 4,300,1,1,50.0,3.81,1.83,164,5,169,중간,0.000567,3,True,3,"문제: 특별피난계단의 계단실 및 부속실 제연설비의 비상전원은 제연설비를 유효하게 최소 몇 분 이상 작동할 수 있도록 하여야 하는가? (단, 층수가 30층 이상 49층 이하인 경우이다.)

선택지:
1. 20
2. 30
3. 40
4. 60

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
3,소방설비기사(기계분야),2014,4,소방유체역학,25,노즐 선단에서의 방사압력을 측정하였더니 200kPa(계기압력)이었다면 이 때 물의 순간 유출속도는 몇 m/s인가?,,10,14.1,20,28.3,3,3,Claude Sonnet 4,300,1,2,33.33,5.75,1.95,135,10,145,중간,0.000555,N/A,False,이 문제는 베르누,"문제: 노즐 선단에서의 방사압력을 측정하였더니 200kPa(계기압력)이었다면 이 때 물의 순간 유출속도는 몇 m/s인가?

선택지:
1. 10
2. 14.1
3. 20
4. 28.3

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
4,소방설비기사(기계분야),2006,2,소방기계시설의 구조 및 원리,67,연결살수설비의 살수 전용 헤드가 천장 또는 반지의 각 부분으로부터 하나의 살수 헤드까지의 수평거리 적용기준은?,,2.1m 이하,2.3m 이하,2.7m 이하,3.7m 이하,4,4,Claude Sonnet 4,300,1,2,25.0,7.7,1.94,155,5,160,중간,0.00054,3,False,3,"문제: 연결살수설비의 살수 전용 헤드가 천장 또는 반지의 각 부분으로부터 하나의 살수 헤드까지의 수평거리 적용기준은?

선택지:
1. 2.1m 이하
2. 2.3m 이하
3. 2.7m 이하
4. 3.7m 이하

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
5,소방설비기사(기계분야),2016,2,소방기계시설의 구조 및 원리,79,스프링클러설비의 펌프실을 점검하였다. 펌프의 토출측 배관에 설치되는 부속장치 중에서 펌프와 체크밸브(또는 개폐밸브) 사이에 설치할 필요가 없는 배관은?,,기동용 압력챔버 배관,성능시험 배관,물올림장치 배관,릴리프밸브 배관,1,5,Claude Sonnet 4,300,1,2,20.0,9.78,2.08,191,5,196,중간,0.000648,3,False,3,"문제: 스프링클러설비의 펌프실을 점검하였다. 펌프의 토출측 배관에 설치되는 부속장치 중에서 펌프와 체크밸브(또는 개폐밸브) 사이에 설치할 필요가 없는 배관은?

선택지:
1. 기동용 압력챔버 배관
2. 성능시험 배관
3. 물올림장치 배관
4. 릴리프밸브 배관

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
6,소방설비기사(기계분야),2018,1,소방관계법규,47,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 단독경보형감지기를 설치하여야 하는 특정소방대상물의 기준 중 옳은 것은?",O,연면적 600m$^2$ 미만의 아파트 등,연면적 1000m$^2$ 미만의 기숙사,연면적 1000m$^2$ 미만의 숙박시설,교육연구시설 또는 수련시설 내에 있는 합숙소 또는 기숙사로서 연면적 1000m$^2$ 미만인 것,2,6,Claude Sonnet 4,300,1,2,16.67,11.69,1.92,250,5,255,중간,0.000825,4,False,4,"문제: 화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 단독경보형감지기를 설치하여야 하는 특정소방대상물의 기준 중 옳은 것은?

선택지:
1. 연면적 600m$^2$ 미만의 아파트 등
2. 연면적 1000m$^2$ 미만의 기숙사
3. 연면적 1000m$^2$ 미만의 숙박시설
4. 교육연구시설 또는 수련시설 내에 있는 합숙소 또는 기숙사로서 연면적 1000m$^2$ 미만인 것

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
7,소방설비기사(기계분야),2022,1,소방기계시설의 구조 및 원리,68,특별피난계단의 계단실 및 부속실 제연설비의 화재안전기준상 차압 등에 관한 기준으로 옳은 것은?,,제연설비가 가동되었을 경우 출입문의 개방에 필요한 힘은 150N 이하로 하여야 한다.,제연구역과 옥내와의 사이에 유지하여야 하는 최소차압은 옥내에 스프링클러설비가 설치된 경우에는 40Pa 이상으로 하여야 한다.,계단실과 부속실을 동시에 제연하는 경우 부속실의 기압은 계단실과 같게 하거나 계단실의 기압보다 낮게 할 경우에는 부속실과 계단실의 압력차이는 3Pa 이하가 되도록 하여야 한다.,피난을 위하여 제연구역의 출입문이 일시적으로 개방되는 경우 개방되지 아니하는 제연구역과 옥내와의 차압은 기준에 따른 차압은 기준에 따른 차압의 70% 미만이 되어서는 아니 된다.,4,7,Claude Sonnet 4,300,1,2,14.29,13.53,1.83,429,5,434,중간,0.001362,3,False,3,"문제: 특별피난계단의 계단실 및 부속실 제연설비의 화재안전기준상 차압 등에 관한 기준으로 옳은 것은?

선택지:
1. 제연설비가 가동되었을 경우 출입문의 개방에 필요한 힘은 150N 이하로 하여야 한다.
2. 제연구역과 옥내와의 사이에 유지하여야 하는 최소차압은 옥내에 스프링클러설비가 설치된 경우에는 40Pa 이상으로 하여야 한다.
3. 계단실과 부속실을 동시에 제연하는 경우 부속실의 기압은 계단실과 같게 하거나 계단실의 기압보다 낮게 할 경우에는 부속실과 계단실의 압력차이는 3Pa 이하가 되도록 하여야 한다.
4. 피난을 위하여 제연구역의 출입문이 일시적으로 개방되는 경우 개방되지 아니하는 제연구역과 옥내와의 차압은 기준에 따른 차압은 기준에 따른 차압의 70% 미만이 되어서는 아니 된다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
8,소방설비기사(기계분야),2014,2,소방원론,19,연기의 감광계수(m$^{-1}$)에 대한 설명으로 옳은 것은?,,0.5는 거의 앞이 보이지 않을 정도이다.,10은 화재 최성기 때의 농도이다.,0.5는 가시거리가 20~30m 정도이다.,10은 연기감지기가 작동하기 직전의 농도이다.,2,8,Claude Sonnet 4,300,1,2,12.5,15.46,1.94,186,5,191,중간,0.000633,3,False,3,"문제: 연기의 감광계수(m$^{-1}$)에 대한 설명으로 옳은 것은?

선택지:
1. 0.5는 거의 앞이 보이지 않을 정도이다.
2. 10은 화재 최성기 때의 농도이다.
3. 0.5는 가시거리가 20~30m 정도이다.
4. 10은 연기감지기가 작동하기 직전의 농도이다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
9,소방설비기사(기계분야),2003,1,소방관계법규,49,소화활동설비에서 제연설비를 설치하여야 할 소방대상물 중 틀린 것은?,,관람집회 및 운동시설로서 무대부의 바닥면적이 100제곱미터 이상인 것,근린생활 및 위락시설· 판매시설 및 숙박시설로서 지하층 또는 무창층의 바닥면적이 1천제곱미터이상인 것,지하가로서 연면적 1천제곱미터 이상인 것,시외버스정류장·철도역사·공장시설·해운시설의 대합실 또는 휴게시설로서 지하층 또는 무창측의 바닥면적이 1천제곱미터 이상인 것,1,9,Claude Sonnet 4,300,1,2,11.11,17.23,1.76,293,5,298,중간,0.000954,3,False,3,"문제: 소화활동설비에서 제연설비를 설치하여야 할 소방대상물 중 틀린 것은?

선택지:
1. 관람집회 및 운동시설로서 무대부의 바닥면적이 100제곱미터 이상인 것
2. 근린생활 및 위락시설· 판매시설 및 숙박시설로서 지하층 또는 무창층의 바닥면적이 1천제곱미터이상인 것
3. 지하가로서 연면적 1천제곱미터 이상인 것
4. 시외버스정류장·철도역사·공장시설·해운시설의 대합실 또는 휴게시설로서 지하층 또는 무창측의 바닥면적이 1천제곱미터 이상인 것

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
10,소방설비기사(기계분야),2014,2,소방기계시설의 구조 및 원리,71,물분무소화설비의 배관재료로 사용해서는 안되는 것은?,,배관용 탄소강 강관(백관),배관용 탄소강 강관(흑관),압력배관용 탄소강 강관,연관,4,10,Claude Sonnet 4,300,2,2,20.0,19.11,1.88,138,5,143,중간,0.000489,4,True,4,"문제: 물분무소화설비의 배관재료로 사용해서는 안되는 것은?

선택지:
1. 배관용 탄소강 강관(백관)
2. 배관용 탄소강 강관(흑관)
3. 압력배관용 탄소강 강관
4. 연관

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
