ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,소방설비산업기사(전기),2017,1,소방원론,1,제3종 분말소화약제의 주성분으로 옳은 것은?,text_only,,탄산수소나트륨,제1인산암모늄,탄산수소칼륨,탄산수소칼륨과 요소,2,1,GPT-4o,300,0,0,0.0,0.42,0.42,97,1,98,중간,0.000253,3,False,3,"문제: 제3종 분말소화약제의 주성분으로 옳은 것은?

선택지:
1. 탄산수소나트륨
2. 제1인산암모늄
3. 탄산수소칼륨
4. 탄산수소칼륨과 요소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,소방설비산업기사(전기),2014,4,소방원론,13,질소가 가연물이 될 수 없는 이유를 가장 옳게 설명한 것은?,text_only,,산화반응 시 흡열반응을 하기 때문에,연소 시 화염이 없기 때문에,산소와 반응하지 않기 때문에,산화반응 시 발열반응을 하기 때문에,1,2,GPT-4o,300,0,0,0.0,0.86,0.44,108,1,109,중간,0.00028,3,False,3,"문제: 질소가 가연물이 될 수 없는 이유를 가장 옳게 설명한 것은?

선택지:
1. 산화반응 시 흡열반응을 하기 때문에
2. 연소 시 화염이 없기 때문에
3. 산소와 반응하지 않기 때문에
4. 산화반응 시 발열반응을 하기 때문에

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,소방설비산업기사(전기),2015,1,소방전기회로,24,PID동작에 대한 설명으로 옳은 것은?,text_only,,사이클링을 제거할 수 있으나 오프셋이 생기게 된다.,응답속도는 빨리할 수 있으나 오프셋이 제거되지 않는다.,사이클링과 오프셋이 제거되고 응답속도가 빠르며 안정성이 있다.,오프셋은 제거되나 제어동작에 큰 부동작 시간이 있으면 응답이 늦어지게 된다.,3,3,GPT-4o,300,1,0,33.33,1.34,0.48,145,1,146,중간,0.000373,3,True,3,"문제: PID동작에 대한 설명으로 옳은 것은?

선택지:
1. 사이클링을 제거할 수 있으나 오프셋이 생기게 된다.
2. 응답속도는 빨리할 수 있으나 오프셋이 제거되지 않는다.
3. 사이클링과 오프셋이 제거되고 응답속도가 빠르며 안정성이 있다.
4. 오프셋은 제거되나 제어동작에 큰 부동작 시간이 있으면 응답이 늦어지게 된다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,소방설비산업기사(전기),2011,1,소방관계법규,46,위험물의 임시저장 취급기준을 정하고 있는 것은?,text_only,O,대통령령,국무총리령,행정안전부령,시ㆍ도 조례,4,4,GPT-4o,300,1,0,25.0,1.74,0.39,81,1,82,중간,0.000213,3,False,3,"문제: 위험물의 임시저장 취급기준을 정하고 있는 것은?

선택지:
1. 대통령령
2. 국무총리령
3. 행정안전부령
4. 시ㆍ도 조례

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,소방설비산업기사(전기),2015,1,소방관계법규,45,특정소방대상물에 사용되는 방염대상물품이 아닌 것은?,text_only,O,암막·무대막,창문에 설치하는 커튼류,전시용 합판,종이벽지,4,5,GPT-4o,300,2,0,40.0,2.13,0.39,88,1,89,중간,0.00023,4,True,4,"문제: 특정소방대상물에 사용되는 방염대상물품이 아닌 것은?

선택지:
1. 암막·무대막
2. 창문에 설치하는 커튼류
3. 전시용 합판
4. 종이벽지

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,소방설비산업기사(전기),2016,4,소방관계법규,41,소방시설의 하자 발생 통보를 받은 공사업자는 며칠 이내에 하자를 보수하거나 보수 일정을 기록한 하자보수계획을 관계인에게 서면으로 알려야 하는가?,text_only,O,1일,2일,3일,7일,3,6,GPT-4o,300,3,0,50.0,2.6,0.47,107,1,108,중간,0.000278,3,True,3,"문제: 소방시설의 하자 발생 통보를 받은 공사업자는 며칠 이내에 하자를 보수하거나 보수 일정을 기록한 하자보수계획을 관계인에게 서면으로 알려야 하는가?

선택지:
1. 1일
2. 2일
3. 3일
4. 7일

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,소방설비산업기사(전기),2020,"1,2",소방전기회로,40,다이오드를 이용한 정류회로에서 여러 개의 다이오드를 직렬로 연결하여 사용하면?,text_only,,다이오드를 높은 주파수에서 사용할 수 있다.,부하 출력의 맥동률을 감소시킬 수 있다.,다이오드를 과전압으로부터 보호할 수 있다.,다이오드를 과전류로부터 보호할 수 있다.,3,7,GPT-4o,300,4,0,57.14,2.98,0.39,124,1,125,중간,0.00032,3,True,3,"문제: 다이오드를 이용한 정류회로에서 여러 개의 다이오드를 직렬로 연결하여 사용하면?

선택지:
1. 다이오드를 높은 주파수에서 사용할 수 있다.
2. 부하 출력의 맥동률을 감소시킬 수 있다.
3. 다이오드를 과전압으로부터 보호할 수 있다.
4. 다이오드를 과전류로부터 보호할 수 있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,소방설비산업기사(전기),2006,1,소방전기회로,21,목표값이 시간에 관계없이 일정한 제어는?,text_only,,정치제어,추종제어,비율제어,프로그래밍제어,1,8,GPT-4o,300,4,0,50.0,3.44,0.46,75,1,76,중간,0.000198,3,False,3,"문제: 목표값이 시간에 관계없이 일정한 제어는?

선택지:
1. 정치제어
2. 추종제어
3. 비율제어
4. 프로그래밍제어

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,소방설비산업기사(전기),2010,4,소방원론,12,화재의 분류에서 A급 화재에 속하는 것은?,text_only,,유류,목재,전기,가스,2,9,GPT-4o,300,5,0,55.56,3.87,0.43,69,1,70,중간,0.000183,2,True,2,"문제: 화재의 분류에서 A급 화재에 속하는 것은?

선택지:
1. 유류
2. 목재
3. 전기
4. 가스

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,소방설비산업기사(전기),2009,2,소방원론,18,제1석유류는 어떤 위험물에 속하는가?,text_only,,산화성 액체,인화성 액체,자기반응성 물질,금수성 물질,2,10,GPT-4o,300,6,0,60.0,4.34,0.47,81,1,82,중간,0.000213,2,True,2,"문제: 제1석유류는 어떤 위험물에 속하는가?

선택지:
1. 산화성 액체
2. 인화성 액체
3. 자기반응성 물질
4. 금수성 물질

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
11,소방설비산업기사(전기),2017,2,소방관계법규,54,"특정소방대상물의 건축·대수선·용도변경 또는 설치 등을 위한 공사를 시공하는 자가 공사현장에서 인화성 물품을 취급하는 작업 등 대통령령으로 정하는 작업을 하기 전에 설치하고 유지·관리하는 임시소방시설의 종류가 아닌 것은? (단, 용접·용단 등 불꽃을 발생시키거나 화기를 취급하는 작업이다.)",text_only,O,간이소화장치,비상경보장치,자동확산소화기,간이피난유도선,3,11,GPT-4o,300,7,0,63.64,5.21,0.87,164,1,165,중간,0.00042,3,True,3,"문제: 특정소방대상물의 건축·대수선·용도변경 또는 설치 등을 위한 공사를 시공하는 자가 공사현장에서 인화성 물품을 취급하는 작업 등 대통령령으로 정하는 작업을 하기 전에 설치하고 유지·관리하는 임시소방시설의 종류가 아닌 것은? (단, 용접·용단 등 불꽃을 발생시키거나 화기를 취급하는 작업이다.)

선택지:
1. 간이소화장치
2. 비상경보장치
3. 자동확산소화기
4. 간이피난유도선

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
12,소방설비산업기사(전기),2014,4,소방전기시설의 구조 및 원리,62,내화배선으로 시공하기 위해 450V/750V 저독성 난연 가교 폴리올레핀 절연전선을 합성수지관에 수납하여 내화구조로 된 벽 또는 바닥에 매설하고자 한다. 표면으로부터 얼마 이상의 깊이로 매설하여야 하는가?,text_only,O,10mm 이상,15mm 이상,25mm 이상,40mm 이상,3,12,GPT-4o,300,8,0,66.67,5.63,0.43,137,1,138,중간,0.000353,3,True,3,"문제: 내화배선으로 시공하기 위해 450V/750V 저독성 난연 가교 폴리올레핀 절연전선을 합성수지관에 수납하여 내화구조로 된 벽 또는 바닥에 매설하고자 한다. 표면으로부터 얼마 이상의 깊이로 매설하여야 하는가?

선택지:
1. 10mm 이상
2. 15mm 이상
3. 25mm 이상
4. 40mm 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
