ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,예측답,정답여부,모델응답,프롬프트,문제번호
1,경비지도사2차,2015,1,소방학,10,화재 시 가연물질 주변의 산소농도를 낮추어 소화하는 방법은?,text_only,,냉각소화,질식소화,부촉매소화,제거소화,2,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.56,116,2,118,2,True,2,"문제: 화재 시 가연물질 주변의 산소농도를 낮추어 소화하는 방법은?

선택지:
1. 냉각소화
2. 질식소화
3. 부촉매소화
4. 제거소화

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",1
2,경비지도사2차,2018,1,소방학,27,정전기 대전 방지대책으로 옳지 않은 것은?,text_only,,제전기를 사용한다.,대전체를 전기적으로 절연한다.,공기를 이온화한다.,공기 중의 상대습도를 70% 이상 유지한다.,2,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.56,122,2,124,2,True,2,"문제: 정전기 대전 방지대책으로 옳지 않은 것은?

선택지:
1. 제전기를 사용한다.
2. 대전체를 전기적으로 절연한다.
3. 공기를 이온화한다.
4. 공기 중의 상대습도를 70% 이상 유지한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",2
3,경비지도사2차,2021,1,소방학,13,물의 적상(drop) 주수방법에 관한 내용으로 옳은 것은?,text_only,,소화전 노즐의 주수이다.,스프링클러설비 헤드의 주수로 살수라고도 한다.,물분무 소화설비 헤드의 주수이다.,C급 화재 소화에 적합하다.,2,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.59,142,2,144,2,True,2,"문제: 물의 적상(drop) 주수방법에 관한 내용으로 옳은 것은?

선택지:
1. 소화전 노즐의 주수이다.
2. 스프링클러설비 헤드의 주수로 살수라고도 한다.
3. 물분무 소화설비 헤드의 주수이다.
4. C급 화재 소화에 적합하다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",3
4,경비지도사2차,2015,1,소방학,22,다음 중 분진폭발의 위험성이 없는 것은?,text_only,,밀가루,석탄가루,산화칼슘(생석회) 분말,알루미늄 분말,3,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.55,114,2,116,3,True,3,"문제: 다음 중 분진폭발의 위험성이 없는 것은?

선택지:
1. 밀가루
2. 석탄가루
3. 산화칼슘(생석회) 분말
4. 알루미늄 분말

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",4
5,경비지도사2차,2020,1,소방학,12,가연성가스의 분출화재 시 주 밸브를 닫아서 연료공급을 차단하는 소화방법은?,text_only,,냉각소화,제거소화,억제소화,질식소화,2,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.56,123,2,125,2,True,2,"문제: 가연성가스의 분출화재 시 주 밸브를 닫아서 연료공급을 차단하는 소화방법은?

선택지:
1. 냉각소화
2. 제거소화
3. 억제소화
4. 질식소화

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",5
6,경비지도사2차,2010,1,소방학,35,화재발생 상황을 단독으로 감지하고 자체에 내장된 음향장치로 경보하는 감지기는?,text_only,,차동식 스포트형감지기,정온식 스포트형감지기,단독경보형감지기,광전식 분리형감지기,3,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.6,145,2,147,3,True,3,"문제: 화재발생 상황을 단독으로 감지하고 자체에 내장된 음향장치로 경보하는 감지기는?

선택지:
1. 차동식 스포트형감지기
2. 정온식 스포트형감지기
3. 단독경보형감지기
4. 광전식 분리형감지기

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",6
7,경비지도사2차,2023,1,소방학,6,폭굉(Detonation)에 관한 설명으로 옳은 것은?,text_only,,온도상승은 충격파의 압력에 반비례한다.,화염전파속도가 음속보다 빠르다.,압력은 수 기압 정도로 정압이다.,"전달에너지는 연소열에 기인하며, 충격파는 없다.",2,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.6,146,2,148,2,True,2,"문제: 폭굉(Detonation)에 관한 설명으로 옳은 것은?

선택지:
1. 온도상승은 충격파의 압력에 반비례한다.
2. 화염전파속도가 음속보다 빠르다.
3. 압력은 수 기압 정도로 정압이다.
4. 전달에너지는 연소열에 기인하며, 충격파는 없다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",7
8,경비지도사2차,2012,1,소방학,11,포소화약제 중 저발포형과 고발포형으로 모두 사용할 수 있는 것은?,text_only,,단백포소화약제,불화단백포소화약제,합성계면활성제포소화약제,알코올형포소화약제,3,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.59,134,2,136,2,False,2,"문제: 포소화약제 중 저발포형과 고발포형으로 모두 사용할 수 있는 것은?

선택지:
1. 단백포소화약제
2. 불화단백포소화약제
3. 합성계면활성제포소화약제
4. 알코올형포소화약제

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",8
9,경비지도사2차,2020,1,소방학,30,소방기본법령상 소방대상물에 해당하지 않는 것은?,text_only,O,산림,인공 구조물,항해 중인 선박,선박 건조 구조물,3,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.55,110,2,112,3,True,3,"문제: 소방기본법령상 소방대상물에 해당하지 않는 것은?

선택지:
1. 산림
2. 인공 구조물
3. 항해 중인 선박
4. 선박 건조 구조물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",9
10,경비지도사2차,2020,1,소방학,10,위험물안전관리법령상 위험물제조소에서 제4류 위험물을 취급하는 경우에 게시판에 표시하여야 하는 주의사항은?,text_only,O,화기엄금,화기주의,물기엄금,물기주의,1,meta/llama-3.3-70b,300,206,0,68.67,186.98,0.56,126,2,128,1,True,1,"문제: 위험물안전관리법령상 위험물제조소에서 제4류 위험물을 취급하는 경우에 게시판에 표시하여야 하는 주의사항은?

선택지:
1. 화기엄금
2. 화기주의
3. 물기엄금
4. 물기주의

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",10
