ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,건설안전산업기사,2004,1,인간공학 및 시스템안전공학,37,작업 영역을 설계할 때 조정가능성의 대상에 해당하지않는 것은?,text_only,,작업대의 조정 가능성,작업공구의 조정 가능성,작업대상물의 조정 가능성,작업대와 관련된 작업자 자세의 조정 가능성,3,1,Claude Sonnet 4.5,300,1,0,100.0,1.7,1.7,157,5,162,중간,0.000546,3,True,3,"문제: 작업 영역을 설계할 때 조정가능성의 대상에 해당하지않는 것은?

선택지:
1. 작업대의 조정 가능성
2. 작업공구의 조정 가능성
3. 작업대상물의 조정 가능성
4. 작업대와 관련된 작업자 자세의 조정 가능성

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,건설안전산업기사,2006,2,인간공학 및 시스템안전공학,24,촉각적 표시장치에서 기본 정보 수용기로 주로 사용되는 것은?,text_only,,귀,손,눈,코,2,2,Claude Sonnet 4.5,300,2,0,100.0,3.51,1.82,104,5,109,중간,0.000387,2,True,2,"문제: 촉각적 표시장치에서 기본 정보 수용기로 주로 사용되는 것은?

선택지:
1. 귀
2. 손
3. 눈
4. 코

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,건설안전산업기사,2006,4,인간공학 및 시스템안전공학,28,기계가 인간을 능가하는 경우가 아닌 경우는?,text_only,,물리적인 양을 계수하거나 측정한다.,완전히 새로운 해결책을 찾아낸다.,암호화된 정보를 신속하게 대량으로 보관한다.,반복적인 작업을 규율 있게 발휘한다.,2,3,Claude Sonnet 4.5,300,3,0,100.0,5.2,1.68,173,5,178,중간,0.000594,2,True,2,"문제: 기계가 인간을 능가하는 경우가 아닌 경우는?

선택지:
1. 물리적인 양을 계수하거나 측정한다.
2. 완전히 새로운 해결책을 찾아낸다.
3. 암호화된 정보를 신속하게 대량으로 보관한다.
4. 반복적인 작업을 규율 있게 발휘한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,건설안전산업기사,2006,4,건설시공학,48,공정계획 및 관리에 있어 작업의 집약화와 관계가 가장적은 것은?,text_only,,부분공사로서 이미 자료화 되어 있는 작업군,투입되는 자원의 종류가 다른 작업군,관리외의 작업군,현시점에서 관리상의 중요도가 적은 작업군,2,4,Claude Sonnet 4.5,300,4,0,100.0,7.17,1.98,171,5,176,중간,0.000588,2,True,2,"문제: 공정계획 및 관리에 있어 작업의 집약화와 관계가 가장적은 것은?

선택지:
1. 부분공사로서 이미 자료화 되어 있는 작업군
2. 투입되는 자원의 종류가 다른 작업군
3. 관리외의 작업군
4. 현시점에서 관리상의 중요도가 적은 작업군

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,건설안전산업기사,2006,4,건설재료학,68,"굳지 않은 콘크리트의 성질을 표시하는 용어로, 주로 수량에 의해서 변화하는 유동성의 정도를 나타내는 것은?",text_only,,컨시스턴시(consistency),스테빌리티(stability),레이턴스(laitance),크리프(creep),1,5,Claude Sonnet 4.5,300,5,0,100.0,9.14,1.96,161,5,166,중간,0.000558,1,True,1,"문제: 굳지 않은 콘크리트의 성질을 표시하는 용어로, 주로 수량에 의해서 변화하는 유동성의 정도를 나타내는 것은?

선택지:
1. 컨시스턴시(consistency)
2. 스테빌리티(stability)
3. 레이턴스(laitance)
4. 크리프(creep)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,건설안전산업기사,2006,4,건설안전기술,88,다음 중 구조물 해체작업용 기계·기구의 종류가 아닌 것은?,text_only,,포크 리프트(Fork lift),압쇄기,대형 브레이커,쐐기 타입기 (Rock jack),1,6,Claude Sonnet 4.5,300,6,0,100.0,10.99,1.86,132,5,137,중간,0.000471,1,True,1,"문제: 다음 중 구조물 해체작업용 기계·기구의 종류가 아닌 것은?

선택지:
1. 포크 리프트(Fork lift)
2. 압쇄기
3. 대형 브레이커
4. 쐐기 타입기 (Rock jack)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,건설안전산업기사,2006,2,산업안전관리론,5,다음 중 사고의 직접원인은 어느 것인가?,text_only,,개인적 결함,사회적 결함,유전적 요소,불안전한 상태,4,7,Claude Sonnet 4.5,300,7,0,100.0,11.92,0.93,111,5,116,중간,0.000408,4,True,4,"문제: 다음 중 사고의 직접원인은 어느 것인가?

선택지:
1. 개인적 결함
2. 사회적 결함
3. 유전적 요소
4. 불안전한 상태

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,건설안전산업기사,2006,2,건설시공학,44,건설공사의 공사비 절감요소 중에서 집중 분석하여야 할 부분으로 적당치 않은 것은?,text_only,,단가가 높은 공종,지하공사 등의 어려움이 많은 공종,공사비 금액이 큰 공종,시행실적이 많은 공종,4,8,Claude Sonnet 4.5,300,8,0,100.0,13.8,1.88,160,5,165,중간,0.000555,4,True,4,"문제: 건설공사의 공사비 절감요소 중에서 집중 분석하여야 할 부분으로 적당치 않은 것은?

선택지:
1. 단가가 높은 공종
2. 지하공사 등의 어려움이 많은 공종
3. 공사비 금액이 큰 공종
4. 시행실적이 많은 공종

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,건설안전산업기사,2006,2,건설재료학,64,"압연에서 만든 단면이 ㄴ, ㄷ H. 1형 등의 일정한 모양을 이루고 있는 구조용 압연강재는?",text_only,,형강,봉강,선재,강관,1,9,Claude Sonnet 4.5,300,9,0,100.0,15.74,1.94,130,5,135,중간,0.000465,1,True,1,"문제: 압연에서 만든 단면이 ㄴ, ㄷ H. 1형 등의 일정한 모양을 이루고 있는 구조용 압연강재는?

선택지:
1. 형강
2. 봉강
3. 선재
4. 강관

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,건설안전산업기사,2006,2,건설안전기술,84,"물체의 낙하충격, 물체에의 끼임, 감전 또는 정전기의 대전(帶電)에 의한 위험이 있는 작업 시 공통으로 근로자가 착용하여야 하는 보호구로 적합한 것은?",text_only,,방열복,안전대,안전화,보안경,3,10,Claude Sonnet 4.5,300,10,0,100.0,17.68,1.94,163,5,168,중간,0.000564,3,True,3,"문제: 물체의 낙하충격, 물체에의 끼임, 감전 또는 정전기의 대전(帶電)에 의한 위험이 있는 작업 시 공통으로 근로자가 착용하여야 하는 보호구로 적합한 것은?

선택지:
1. 방열복
2. 안전대
3. 안전화
4. 보안경

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
