ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,경비지도사2차,2015,1,소방학,10,화재 시 가연물질 주변의 산소농도를 낮추어 소화하는 방법은?,text_only,,냉각소화,질식소화,부촉매소화,제거소화,2,1,Claude Sonnet 4,300,1,0,100.0,1.81,1.81,117,5,122,중간,0.000426,2,True,2,"문제: 화재 시 가연물질 주변의 산소농도를 낮추어 소화하는 방법은?

선택지:
1. 냉각소화
2. 질식소화
3. 부촉매소화
4. 제거소화

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,경비지도사2차,2018,1,소방학,27,정전기 대전 방지대책으로 옳지 않은 것은?,text_only,,제전기를 사용한다.,대전체를 전기적으로 절연한다.,공기를 이온화한다.,공기 중의 상대습도를 70% 이상 유지한다.,2,2,Claude Sonnet 4,300,2,0,100.0,3.88,2.07,147,5,152,중간,0.000516,2,True,2,"문제: 정전기 대전 방지대책으로 옳지 않은 것은?

선택지:
1. 제전기를 사용한다.
2. 대전체를 전기적으로 절연한다.
3. 공기를 이온화한다.
4. 공기 중의 상대습도를 70% 이상 유지한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,경비지도사2차,2021,1,소방학,13,물의 적상(drop) 주수방법에 관한 내용으로 옳은 것은?,text_only,,소화전 노즐의 주수이다.,스프링클러설비 헤드의 주수로 살수라고도 한다.,물분무 소화설비 헤드의 주수이다.,C급 화재 소화에 적합하다.,2,3,Claude Sonnet 4,300,2,0,66.67,5.65,1.77,167,5,172,중간,0.000576,3,False,3,"문제: 물의 적상(drop) 주수방법에 관한 내용으로 옳은 것은?

선택지:
1. 소화전 노즐의 주수이다.
2. 스프링클러설비 헤드의 주수로 살수라고도 한다.
3. 물분무 소화설비 헤드의 주수이다.
4. C급 화재 소화에 적합하다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,경비지도사2차,2015,1,소방학,22,다음 중 분진폭발의 위험성이 없는 것은?,text_only,,밀가루,석탄가루,산화칼슘(생석회) 분말,알루미늄 분말,3,4,Claude Sonnet 4,300,3,0,75.0,7.55,1.9,118,5,123,중간,0.000429,3,True,3,"문제: 다음 중 분진폭발의 위험성이 없는 것은?

선택지:
1. 밀가루
2. 석탄가루
3. 산화칼슘(생석회) 분말
4. 알루미늄 분말

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,경비지도사2차,2020,1,소방학,12,가연성가스의 분출화재 시 주 밸브를 닫아서 연료공급을 차단하는 소화방법은?,text_only,,냉각소화,제거소화,억제소화,질식소화,2,5,Claude Sonnet 4,300,4,0,80.0,9.38,1.83,124,5,129,중간,0.000447,2,True,2,"문제: 가연성가스의 분출화재 시 주 밸브를 닫아서 연료공급을 차단하는 소화방법은?

선택지:
1. 냉각소화
2. 제거소화
3. 억제소화
4. 질식소화

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,경비지도사2차,2010,1,소방학,35,화재발생 상황을 단독으로 감지하고 자체에 내장된 음향장치로 경보하는 감지기는?,text_only,,차동식 스포트형감지기,정온식 스포트형감지기,단독경보형감지기,광전식 분리형감지기,3,6,Claude Sonnet 4,300,5,0,83.33,11.19,1.81,147,5,152,중간,0.000516,3,True,3,"문제: 화재발생 상황을 단독으로 감지하고 자체에 내장된 음향장치로 경보하는 감지기는?

선택지:
1. 차동식 스포트형감지기
2. 정온식 스포트형감지기
3. 단독경보형감지기
4. 광전식 분리형감지기

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,경비지도사2차,2023,1,소방학,6,폭굉(Detonation)에 관한 설명으로 옳은 것은?,text_only,,온도상승은 충격파의 압력에 반비례한다.,화염전파속도가 음속보다 빠르다.,압력은 수 기압 정도로 정압이다.,"전달에너지는 연소열에 기인하며, 충격파는 없다.",2,7,Claude Sonnet 4,300,6,0,85.71,13.2,2.02,174,5,179,중간,0.000597,2,True,2,"문제: 폭굉(Detonation)에 관한 설명으로 옳은 것은?

선택지:
1. 온도상승은 충격파의 압력에 반비례한다.
2. 화염전파속도가 음속보다 빠르다.
3. 압력은 수 기압 정도로 정압이다.
4. 전달에너지는 연소열에 기인하며, 충격파는 없다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,경비지도사2차,2012,1,소방학,11,포소화약제 중 저발포형과 고발포형으로 모두 사용할 수 있는 것은?,text_only,,단백포소화약제,불화단백포소화약제,합성계면활성제포소화약제,알코올형포소화약제,3,8,Claude Sonnet 4,300,7,0,87.5,15.17,1.96,137,5,142,중간,0.000486,3,True,3,"문제: 포소화약제 중 저발포형과 고발포형으로 모두 사용할 수 있는 것은?

선택지:
1. 단백포소화약제
2. 불화단백포소화약제
3. 합성계면활성제포소화약제
4. 알코올형포소화약제

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,경비지도사2차,2020,1,소방학,30,소방기본법령상 소방대상물에 해당하지 않는 것은?,text_only,O,산림,인공 구조물,항해 중인 선박,선박 건조 구조물,3,9,Claude Sonnet 4,300,8,0,88.89,17.24,2.07,115,5,120,중간,0.00042,3,True,3,"문제: 소방기본법령상 소방대상물에 해당하지 않는 것은?

선택지:
1. 산림
2. 인공 구조물
3. 항해 중인 선박
4. 선박 건조 구조물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,경비지도사2차,2020,1,소방학,10,위험물안전관리법령상 위험물제조소에서 제4류 위험물을 취급하는 경우에 게시판에 표시하여야 하는 주의사항은?,text_only,O,화기엄금,화기주의,물기엄금,물기주의,1,10,Claude Sonnet 4,300,8,0,80.0,19.12,1.88,140,5,145,중간,0.000495,2,False,2,"문제: 위험물안전관리법령상 위험물제조소에서 제4류 위험물을 취급하는 경우에 게시판에 표시하여야 하는 주의사항은?

선택지:
1. 화기엄금
2. 화기주의
3. 물기엄금
4. 물기주의

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
