ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,소방설비산업기사(기계),2008,2,소방유체역학,29,소화약제의 특성에 관한 설명 중 옳은 것은?,text_only,,분말 소화약제는 입도가 클수록 소화효과가 증대된다.,제1종 분말 소화약제는 백색으로 착색되어 있다.,이산화탄소의 3중점은 31℃이다.,할론 소화약제 중 할론 2402가 가장 독성이 약하다.,2,1,Claude 3.5 Haiku,300,0,0,0.0,0.83,0.83,190,5,195,낮음,5.4e-05,3,False,3,"문제: 소화약제의 특성에 관한 설명 중 옳은 것은?

선택지:
1. 분말 소화약제는 입도가 클수록 소화효과가 증대된다.
2. 제1종 분말 소화약제는 백색으로 착색되어 있다.
3. 이산화탄소의 3중점은 31℃이다.
4. 할론 소화약제 중 할론 2402가 가장 독성이 약하다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,소방설비산업기사(기계),2014,2,소방관계법규,54,소방대상물의 관계인에 해당하지 않는 사람은?,text_only,O,소방대상물의 소유자,소방대상물의 점유자,소방대상물의 관리자,소방대상물을 검사 중인 소방공무원,4,2,Claude 3.5 Haiku,300,1,0,50.0,1.67,0.84,136,5,141,낮음,4e-05,4,True,4,"문제: 소방대상물의 관계인에 해당하지 않는 사람은?

선택지:
1. 소방대상물의 소유자
2. 소방대상물의 점유자
3. 소방대상물의 관리자
4. 소방대상물을 검사 중인 소방공무원

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,소방설비산업기사(기계),2018,4,소방기계시설의 구조 및 원리,64,물분무소화설비의 물분무헤드를 설치하지 아니할 수 있는 기준 중 다음 ( )안에 알맞은 것은?\n\n운전 시에 표면의 온도가 ( )℃ 이상으로 되는 등 직접 분무를 한는 경우 그 부분에 손상을 입힐우려가 있는 기계장치 등이 있는 장소,text_only,O,79,121,162,260,4,3,Claude 3.5 Haiku,300,1,0,33.33,2.41,0.74,199,5,204,낮음,5.6e-05,3,False,3,"문제: 물분무소화설비의 물분무헤드를 설치하지 아니할 수 있는 기준 중 다음 ( )안에 알맞은 것은?\n\n운전 시에 표면의 온도가 ( )℃ 이상으로 되는 등 직접 분무를 한는 경우 그 부분에 손상을 입힐우려가 있는 기계장치 등이 있는 장소

선택지:
1. 79
2. 121
3. 162
4. 260

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,소방설비산업기사(기계),2019,3,소방기계시설의 구조 및 원리,79,유량을 토출하여 펌프를 시험할 때 성능시험 배관의 밸브를 막고 연속으로 운전할 경우 자동적으로 개방되는 것은 어느 밸브인가?,text_only,,후드밸브,릴리프밸브,시험밸브,유량조절밸브,2,4,Claude 3.5 Haiku,300,2,0,50.0,3.13,0.72,160,5,165,낮음,4.6e-05,2,True,2,"문제: 유량을 토출하여 펌프를 시험할 때 성능시험 배관의 밸브를 막고 연속으로 운전할 경우 자동적으로 개방되는 것은 어느 밸브인가?

선택지:
1. 후드밸브
2. 릴리프밸브
3. 시험밸브
4. 유량조절밸브

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,소방설비산업기사(기계),2017,1,소방유체역학,34,"텅스텐, 백금 또는 백금-이리듐 등을 전기적으로 가열하고 통과 풍량에 따른 열 교환양으로 속도를 측정하는 것은?",text_only,,열선 풍속계,도플러 풍속계,컵형 풍속계,포토디텍터 풍속계,1,5,Claude 3.5 Haiku,300,3,0,60.0,3.9,0.77,164,5,169,낮음,4.7e-05,1,True,1,"문제: 텅스텐, 백금 또는 백금-이리듐 등을 전기적으로 가열하고 통과 풍량에 따른 열 교환양으로 속도를 측정하는 것은?

선택지:
1. 열선 풍속계
2. 도플러 풍속계
3. 컵형 풍속계
4. 포토디텍터 풍속계

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,소방설비산업기사(기계),2003,4,소방원론,4,증기압에 대한 설명과 관계가 없는 것은?,text_only,,증기분자의 질량이 클수록 큰 증기압이 나타난다.,분자의 운동이 커지면 증기압이 증가한다.,액체의 온도가 상승하면 증기압이 증가한다.,증발과 응축이 평형상태일 때의 압력을 포화증기압이라한다.,1,6,Claude 3.5 Haiku,300,4,0,66.67,5.17,1.27,189,5,194,낮음,5.4e-05,1,True,1,"문제: 증기압에 대한 설명과 관계가 없는 것은?

선택지:
1. 증기분자의 질량이 클수록 큰 증기압이 나타난다.
2. 분자의 운동이 커지면 증기압이 증가한다.
3. 액체의 온도가 상승하면 증기압이 증가한다.
4. 증발과 응축이 평형상태일 때의 압력을 포화증기압이라한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,소방설비산업기사(기계),2014,2,소방관계법규,49,"위험물시설의 설치 및 변경에 있어서 허가를 받지 아니하고 제조소 등을 설치하거나 그 위치, 구조 또는 설비를 변경 할 수 없는 경우는?",text_only,O,주택의 난방시설(공동주택의 중앙난방시설은 제외)을 위한 저장소 또는 취급소,농예용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소,공업용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소,수산용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소,3,7,Claude 3.5 Haiku,300,5,0,71.43,6.77,1.61,292,5,297,낮음,7.9e-05,3,True,3,"문제: 위험물시설의 설치 및 변경에 있어서 허가를 받지 아니하고 제조소 등을 설치하거나 그 위치, 구조 또는 설비를 변경 할 수 없는 경우는?

선택지:
1. 주택의 난방시설(공동주택의 중앙난방시설은 제외)을 위한 저장소 또는 취급소
2. 농예용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소
3. 공업용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소
4. 수산용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,소방설비산업기사(기계),2003,2,소방원론,8,인체에 영향을 미치는 연소 생성물이 아닌 것은?,text_only,,시안계 물질,염화수소계 물질,황화수소,2황화탄소,4,8,Claude 3.5 Haiku,300,6,0,75.0,7.5,0.73,115,5,120,낮음,3.5e-05,4,True,4,"문제: 인체에 영향을 미치는 연소 생성물이 아닌 것은?

선택지:
1. 시안계 물질
2. 염화수소계 물질
3. 황화수소
4. 2황화탄소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,소방설비산업기사(기계),2005,4,소방기계시설의 구조 및 원리,61,상수도 소화용수설비의 소화전은 호칭지름이 얼마이어야 하는가?,text_only,O,65mm 이상,80mm 이상,100mm 이상,150mm 이상,3,9,Claude 3.5 Haiku,300,6,0,66.67,8.25,0.75,119,5,124,낮음,3.6e-05,2,False,2,"문제: 상수도 소화용수설비의 소화전은 호칭지름이 얼마이어야 하는가?

선택지:
1. 65mm 이상
2. 80mm 이상
3. 100mm 이상
4. 150mm 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,소방설비산업기사(기계),2019,1,소방원론,3,소화기의 소화약제에 관한 공통적 성질에 대한 설명으로 틀린 것은?,text_only,O,산알칼리 소화약제는 양질의 유기산을 사용한다.,소화약제는 현저한 독성 또는 부식성이 없어야 한다.,분말상의 소화약제는 고체화 및 변질 등 이상이 없어야 한다.,"액상의 소화약제는 결정의 석출, 용액의 분리, 부유물 또는 침전물 등 기타 이상이 없어야 한다.",1,10,Claude 3.5 Haiku,300,7,0,70.0,8.97,0.72,241,5,246,낮음,6.7e-05,1,True,1,"문제: 소화기의 소화약제에 관한 공통적 성질에 대한 설명으로 틀린 것은?

선택지:
1. 산알칼리 소화약제는 양질의 유기산을 사용한다.
2. 소화약제는 현저한 독성 또는 부식성이 없어야 한다.
3. 분말상의 소화약제는 고체화 및 변질 등 이상이 없어야 한다.
4. 액상의 소화약제는 결정의 석출, 용액의 분리, 부유물 또는 침전물 등 기타 이상이 없어야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
11,소방설비산업기사(기계),2011,2,소방기계시설의 구조 및 원리,70,소화용수 설비의 소요수량이 40m$^3$ 이상 100m$^3$ 미만일 경우에 채수구는 몇 개를 설치하여야 하는가?,text_only,O,4개,3개,2개,1개,3,11,Claude 3.5 Haiku,300,7,0,63.64,9.79,0.81,133,5,138,낮음,4e-05,2,False,2,"문제: 소화용수 설비의 소요수량이 40m$^3$ 이상 100m$^3$ 미만일 경우에 채수구는 몇 개를 설치하여야 하는가?

선택지:
1. 4개
2. 3개
3. 2개
4. 1개

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
12,소방설비산업기사(기계),2013,1,소방원론,3,건축물의 주요구조부가 아닌 것은?,text_only,O,기둥,바닥,보,옥외계단,4,12,Claude 3.5 Haiku,300,8,0,66.67,10.54,0.75,95,5,100,낮음,3e-05,4,True,4,"문제: 건축물의 주요구조부가 아닌 것은?

선택지:
1. 기둥
2. 바닥
3. 보
4. 옥외계단

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
13,소방설비산업기사(기계),2005,2,소방기계시설의 구조 및 원리,62,옥외소화전설비의 유량측정장치는 펌프 정격토출량의 몇 %까지 측정할 수 있어야 하는가?,text_only,O,140,150,175,185,3,13,Claude 3.5 Haiku,300,9,0,69.23,11.27,0.73,118,5,123,낮음,3.6e-05,3,True,3,"문제: 옥외소화전설비의 유량측정장치는 펌프 정격토출량의 몇 %까지 측정할 수 있어야 하는가?

선택지:
1. 140
2. 150
3. 175
4. 185

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
14,소방설비산업기사(기계),2005,2,소방관계법규,46,불을 사용하는 설비의 관리에 있어서 화재예방상 준수 할 사항은 다음 중 어느 것으로 정하는가?,text_only,O,대통령령,행정자치부령,시·도지사령,소방본부장 또는 소방서장령,1,14,Claude 3.5 Haiku,300,9,0,64.29,12.1,0.83,146,5,151,낮음,4.3e-05,2,False,2,"문제: 불을 사용하는 설비의 관리에 있어서 화재예방상 준수 할 사항은 다음 중 어느 것으로 정하는가?

선택지:
1. 대통령령
2. 행정자치부령
3. 시·도지사령
4. 소방본부장 또는 소방서장령

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
15,소방설비산업기사(기계),2014,1,소방기계시설의 구조 및 원리,65,상수도소화용수 설치시 소방대상물의 소화전 설치기준에 맞는 것은?,text_only,O,수평투영 반경의 각 부분으로부터 140 m 이내마다,수평투영 면의 각 부분으로부터 140 m 이내마다,수평투영 면적의 각 부분으로부터 140 m 이내마다,수평투시도의 각 부분으로부터 140 m 이내마다,2,15,Claude 3.5 Haiku,300,10,0,66.67,12.88,0.78,201,5,206,낮음,5.7e-05,2,True,2,"문제: 상수도소화용수 설치시 소방대상물의 소화전 설치기준에 맞는 것은?

선택지:
1. 수평투영 반경의 각 부분으로부터 140 m 이내마다
2. 수평투영 면의 각 부분으로부터 140 m 이내마다
3. 수평투영 면적의 각 부분으로부터 140 m 이내마다
4. 수평투시도의 각 부분으로부터 140 m 이내마다

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
16,소방설비산업기사(기계),2014,2,소방기계시설의 구조 및 원리,77,연결송수관 설비에서 습식설비로 하여야 하는 건축물 기준은?,text_only,O,건축물의 높이가 31m 이상인 것,지상 10층 이상의 건축물인 것,건축물의 높이가 25m 이상인 것,지상 7층 이상의 건축물인 것,1,16,Claude 3.5 Haiku,300,10,0,62.5,13.68,0.8,162,5,167,낮음,4.7e-05,3,False,3,"문제: 연결송수관 설비에서 습식설비로 하여야 하는 건축물 기준은?

선택지:
1. 건축물의 높이가 31m 이상인 것
2. 지상 10층 이상의 건축물인 것
3. 건축물의 높이가 25m 이상인 것
4. 지상 7층 이상의 건축물인 것

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
17,소방설비산업기사(기계),2010,2,소방기계시설의 구조 및 원리,61,근린생활시설 중 4층에 입원실이 있는 의원에 피난기구를 설치하고자 한다. 이때 반드시 설치하지 않아도 되는 피난기구는?,text_only,O,완강기,피난교,피난용 트랩,구조대,1,17,Claude 3.5 Haiku,300,10,0,58.82,14.41,0.73,146,5,151,낮음,4.3e-05,4,False,4,"문제: 근린생활시설 중 4층에 입원실이 있는 의원에 피난기구를 설치하고자 한다. 이때 반드시 설치하지 않아도 되는 피난기구는?

선택지:
1. 완강기
2. 피난교
3. 피난용 트랩
4. 구조대

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
18,소방설비산업기사(기계),2013,1,소방관계법규,41,전문소방시설공사업의 법인인 경우 자본금기준은 얼마인가?,text_only,O,5천만원 이상,1억원 이상,2억원 이상,3억원 이상,2,18,Claude 3.5 Haiku,300,11,0,61.11,15.17,0.76,120,5,125,낮음,3.6e-05,2,True,2,"문제: 전문소방시설공사업의 법인인 경우 자본금기준은 얼마인가?

선택지:
1. 5천만원 이상
2. 1억원 이상
3. 2억원 이상
4. 3억원 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
19,소방설비산업기사(기계),2003,2,소방유체역학,31,다음 기체 중 불연성 가스에 해당되지 않는 것은?,text_only,,수증기,질소,일산화탄소,아르곤,3,19,Claude 3.5 Haiku,300,12,0,63.16,15.91,0.73,106,5,111,낮음,3.3e-05,3,True,3,"문제: 다음 기체 중 불연성 가스에 해당되지 않는 것은?

선택지:
1. 수증기
2. 질소
3. 일산화탄소
4. 아르곤

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
