ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,위험물기능사,2008,4,위험물의 화학적 성질 및 취급,30,이황화탄소에 대한 설명 중 틀린 것은?,text_only,,이황화탄소의 증기는 공기보다 무겁다.,"액체 상태이고, 물보다 무겁다.",증기는 유독하여 신경에 장애를 줄 수 있다.,비점이 물의 비점과 같다.,4,1,Claude Haiku 4.5,300,1,0,100.0,0.62,0.62,166,5,171,낮음,7.6e-05,4,True,4,"문제: 이황화탄소에 대한 설명 중 틀린 것은?

선택지:
1. 이황화탄소의 증기는 공기보다 무겁다.
2. 액체 상태이고, 물보다 무겁다.
3. 증기는 유독하여 신경에 장애를 줄 수 있다.
4. 비점이 물의 비점과 같다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,위험물기능사,2011,1,화재 예방과 소화방법,13,제 1종 분말소화약제의 화학식과 색상이 옳게 연결된 것은?,text_only,,NaHCO$_3$ - 백색,KHCO$_3$ - 백색,NaHCO$_3$ - 담홍색,KHCO$_3$ - 담홍색,1,2,Claude Haiku 4.5,300,1,1,50.0,1.25,0.63,145,10,155,낮음,7.8e-05,N/A,False,제1종 분말소화약,"문제: 제 1종 분말소화약제의 화학식과 색상이 옳게 연결된 것은?

선택지:
1. NaHCO$_3$ - 백색
2. KHCO$_3$ - 백색
3. NaHCO$_3$ - 담홍색
4. KHCO$_3$ - 담홍색

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,위험물기능사,2015,1,화재 예방과 소화방법,7,알코올류 20000L에 대한 소화설비 설치 시 소요단위는?,text_only,O,5,10,15,20,1,3,Claude Haiku 4.5,300,1,2,33.33,1.88,0.63,97,10,107,낮음,5.9e-05,N/A,False,이 문제는 위험물,"문제: 알코올류 20000L에 대한 소화설비 설치 시 소요단위는?

선택지:
1. 5
2. 10
3. 15
4. 20

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,위험물기능사,2002,3,위험물의 화학적 성질 및 취급,28,알킬알루미늄류에 대한 설명으로 옳은 것은?,text_only,,모두 무색의 액체이다.,자극성인 냄새와 독성이 있다.,저장시 밀봉하고 아세틸렌 가스를 충전한다.,물과 접촉하면 폭발적으로 반응하여 산소와 수소를 발생한다.,2,4,Claude Haiku 4.5,300,2,2,50.0,2.51,0.64,180,5,185,낮음,8.2e-05,2,True,2,"문제: 알킬알루미늄류에 대한 설명으로 옳은 것은?

선택지:
1. 모두 무색의 액체이다.
2. 자극성인 냄새와 독성이 있다.
3. 저장시 밀봉하고 아세틸렌 가스를 충전한다.
4. 물과 접촉하면 폭발적으로 반응하여 산소와 수소를 발생한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,위험물기능사,2015,1,위험물의 화학적 성질 및 취급,57,지정수량 20배의 알코올류를 저장하는 옥외탱크저장소의 경우 펌프실 외의 장소에 설치하는 펌프설비의 기준으로 옳지 않은 것은?,text_only,O,펌프설비 주위에는 3m 이상의 공지를 보유한다.,펌프설비 그 직하의 지반면 주위에 높이 0.15m 이상의 턱을 만든다.,펌프설비 그 직하의 지반면의 최저부에는 집유설비를 만든다.,집유설비에는 위험물이 배수구에 유입되지 않도록 유분리장치를 만든다.,4,5,Claude Haiku 4.5,300,2,2,40.0,3.09,0.58,274,5,279,낮음,0.00012,2,False,2,"문제: 지정수량 20배의 알코올류를 저장하는 옥외탱크저장소의 경우 펌프실 외의 장소에 설치하는 펌프설비의 기준으로 옳지 않은 것은?

선택지:
1. 펌프설비 주위에는 3m 이상의 공지를 보유한다.
2. 펌프설비 그 직하의 지반면 주위에 높이 0.15m 이상의 턱을 만든다.
3. 펌프설비 그 직하의 지반면의 최저부에는 집유설비를 만든다.
4. 집유설비에는 위험물이 배수구에 유입되지 않도록 유분리장치를 만든다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,위험물기능사,2008,2,화재 예방과 소화방법,17,탄산칼륨을 물에 용해시킨 강화액 소화약제의 pH에 가장 가까운 것은?,text_only,,1,4,7,12,4,6,Claude Haiku 4.5,300,3,2,50.0,3.61,0.52,109,5,114,낮음,5.4e-05,4,True,4,"문제: 탄산칼륨을 물에 용해시킨 강화액 소화약제의 pH에 가장 가까운 것은?

선택지:
1. 1
2. 4
3. 7
4. 12

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,위험물기능사,2003,1,화재 예방과 소화방법,3,옥내저장소의 보유공지는 지정수량 20배 이상 50배 미만의 위험물을 옥내저장소에 저장하여 동일부지에 2개 이상 인접할 경우 보유공지 너비를 1/3로 감축한다.이 때 감축할 수 있는 공지의 너비는 얼마인가?,text_only,O,1.5m 이상,2m 이상,3m 이상,5m 이상,3,7,Claude Haiku 4.5,300,3,3,42.86,4.19,0.58,201,10,211,낮음,0.0001,N/A,False,이 문제는 위험물,"문제: 옥내저장소의 보유공지는 지정수량 20배 이상 50배 미만의 위험물을 옥내저장소에 저장하여 동일부지에 2개 이상 인접할 경우 보유공지 너비를 1/3로 감축한다.이 때 감축할 수 있는 공지의 너비는 얼마인가?

선택지:
1. 1.5m 이상
2. 2m 이상
3. 3m 이상
4. 5m 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,위험물기능사,2011,1,위험물의 화학적 성질 및 취급,27,다음은 P$_2$S$_5$와 물의 화학반응이다. ( ) 에 알맞은 숫자를 차례대로 나열한 것은?\n\nP$_2$S$_5$ + ( )H$_2$O → ( )H$_2$S + ( )H$_3$PO$_4$,text_only,,"2, 8, 5","2, 5, 8","8, 5, 2","8, 2, 5",3,8,Claude Haiku 4.5,300,3,4,37.5,4.79,0.6,190,10,200,낮음,9.6e-05,N/A,False,이 문제를 화학,"문제: 다음은 P$_2$S$_5$와 물의 화학반응이다. ( ) 에 알맞은 숫자를 차례대로 나열한 것은?\n\nP$_2$S$_5$ + ( )H$_2$O → ( )H$_2$S + ( )H$_3$PO$_4$

선택지:
1. 2, 8, 5
2. 2, 5, 8
3. 8, 5, 2
4. 8, 2, 5

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,위험물기능사,2012,5,위험물의 화학적 성질 및 취급,31,KMnO$_4$ 의 지정수량은 몇 kg 인가?,text_only,O,50,100,300,1000,4,9,Claude Haiku 4.5,300,3,5,33.33,5.34,0.55,93,10,103,낮음,5.7e-05,N/A,False,이 문제는 KMn,"문제: KMnO$_4$ 의 지정수량은 몇 kg 인가?

선택지:
1. 50
2. 100
3. 300
4. 1000

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,위험물기능사,2007,2,위험물의 화학적 성질 및 취급,36,다음 3류 위험물의 지정수량이 잘못된 것은?,text_only,O,(C$_2$H$_5$)$_3$AI : 10 kg,Ca : 50 kg,LiH : 300 kg,AIP : 500 kg,4,10,Claude Haiku 4.5,300,3,5,30.0,6.07,0.72,128,10,138,낮음,7.1e-05,3,False,3류 위험물의 지,"문제: 다음 3류 위험물의 지정수량이 잘못된 것은?

선택지:
1. (C$_2$H$_5$)$_3$AI : 10 kg
2. Ca : 50 kg
3. LiH : 300 kg
4. AIP : 500 kg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
