ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,위험물기능사,2008,4,위험물의 화학적 성질 및 취급,30,이황화탄소에 대한 설명 중 틀린 것은?,text_only,,이황화탄소의 증기는 공기보다 무겁다.,"액체 상태이고, 물보다 무겁다.",증기는 유독하여 신경에 장애를 줄 수 있다.,비점이 물의 비점과 같다.,4,1,Claude Sonnet 4.5,300,1,0,100.0,1.78,1.78,166,10,176,중간,0.000648,4,True,"4

이황화탄소(","문제: 이황화탄소에 대한 설명 중 틀린 것은?

선택지:
1. 이황화탄소의 증기는 공기보다 무겁다.
2. 액체 상태이고, 물보다 무겁다.
3. 증기는 유독하여 신경에 장애를 줄 수 있다.
4. 비점이 물의 비점과 같다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,위험물기능사,2011,1,화재 예방과 소화방법,13,제 1종 분말소화약제의 화학식과 색상이 옳게 연결된 것은?,text_only,,NaHCO$_3$ - 백색,KHCO$_3$ - 백색,NaHCO$_3$ - 담홍색,KHCO$_3$ - 담홍색,1,2,Claude Sonnet 4.5,300,1,1,50.0,3.8,2.02,145,10,155,중간,0.000585,N/A,False,제 1종 분말소화,"문제: 제 1종 분말소화약제의 화학식과 색상이 옳게 연결된 것은?

선택지:
1. NaHCO$_3$ - 백색
2. KHCO$_3$ - 백색
3. NaHCO$_3$ - 담홍색
4. KHCO$_3$ - 담홍색

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,위험물기능사,2015,1,화재 예방과 소화방법,7,알코올류 20000L에 대한 소화설비 설치 시 소요단위는?,text_only,O,5,10,15,20,1,3,Claude Sonnet 4.5,300,1,2,33.33,5.53,1.73,97,10,107,중간,0.000441,N/A,False,알코올류는 제4류,"문제: 알코올류 20000L에 대한 소화설비 설치 시 소요단위는?

선택지:
1. 5
2. 10
3. 15
4. 20

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,위험물기능사,2002,3,위험물의 화학적 성질 및 취급,28,알킬알루미늄류에 대한 설명으로 옳은 것은?,text_only,,모두 무색의 액체이다.,자극성인 냄새와 독성이 있다.,저장시 밀봉하고 아세틸렌 가스를 충전한다.,물과 접촉하면 폭발적으로 반응하여 산소와 수소를 발생한다.,2,4,Claude Sonnet 4.5,300,2,2,50.0,7.51,1.98,180,5,185,중간,0.000615,2,True,2,"문제: 알킬알루미늄류에 대한 설명으로 옳은 것은?

선택지:
1. 모두 무색의 액체이다.
2. 자극성인 냄새와 독성이 있다.
3. 저장시 밀봉하고 아세틸렌 가스를 충전한다.
4. 물과 접촉하면 폭발적으로 반응하여 산소와 수소를 발생한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,위험물기능사,2015,1,위험물의 화학적 성질 및 취급,57,지정수량 20배의 알코올류를 저장하는 옥외탱크저장소의 경우 펌프실 외의 장소에 설치하는 펌프설비의 기준으로 옳지 않은 것은?,text_only,O,펌프설비 주위에는 3m 이상의 공지를 보유한다.,펌프설비 그 직하의 지반면 주위에 높이 0.15m 이상의 턱을 만든다.,펌프설비 그 직하의 지반면의 최저부에는 집유설비를 만든다.,집유설비에는 위험물이 배수구에 유입되지 않도록 유분리장치를 만든다.,4,5,Claude Sonnet 4.5,300,2,2,40.0,9.66,2.15,274,5,279,중간,0.000897,1,False,1,"문제: 지정수량 20배의 알코올류를 저장하는 옥외탱크저장소의 경우 펌프실 외의 장소에 설치하는 펌프설비의 기준으로 옳지 않은 것은?

선택지:
1. 펌프설비 주위에는 3m 이상의 공지를 보유한다.
2. 펌프설비 그 직하의 지반면 주위에 높이 0.15m 이상의 턱을 만든다.
3. 펌프설비 그 직하의 지반면의 최저부에는 집유설비를 만든다.
4. 집유설비에는 위험물이 배수구에 유입되지 않도록 유분리장치를 만든다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,위험물기능사,2008,2,화재 예방과 소화방법,17,탄산칼륨을 물에 용해시킨 강화액 소화약제의 pH에 가장 가까운 것은?,text_only,,1,4,7,12,4,6,Claude Sonnet 4.5,300,2,3,33.33,11.35,1.69,109,10,119,중간,0.000477,N/A,False,탄산칼륨(K,"문제: 탄산칼륨을 물에 용해시킨 강화액 소화약제의 pH에 가장 가까운 것은?

선택지:
1. 1
2. 4
3. 7
4. 12

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,위험물기능사,2003,1,화재 예방과 소화방법,3,옥내저장소의 보유공지는 지정수량 20배 이상 50배 미만의 위험물을 옥내저장소에 저장하여 동일부지에 2개 이상 인접할 경우 보유공지 너비를 1/3로 감축한다.이 때 감축할 수 있는 공지의 너비는 얼마인가?,text_only,O,1.5m 이상,2m 이상,3m 이상,5m 이상,3,7,Claude Sonnet 4.5,300,2,4,28.57,13.32,1.97,201,10,211,중간,0.000753,N/A,False,옥내저장소의 보,"문제: 옥내저장소의 보유공지는 지정수량 20배 이상 50배 미만의 위험물을 옥내저장소에 저장하여 동일부지에 2개 이상 인접할 경우 보유공지 너비를 1/3로 감축한다.이 때 감축할 수 있는 공지의 너비는 얼마인가?

선택지:
1. 1.5m 이상
2. 2m 이상
3. 3m 이상
4. 5m 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,위험물기능사,2011,1,위험물의 화학적 성질 및 취급,27,다음은 P$_2$S$_5$와 물의 화학반응이다. ( ) 에 알맞은 숫자를 차례대로 나열한 것은?\n\nP$_2$S$_5$ + ( )H$_2$O → ( )H$_2$S + ( )H$_3$PO$_4$,text_only,,"2, 8, 5","2, 5, 8","8, 5, 2","8, 2, 5",3,8,Claude Sonnet 4.5,300,2,5,25.0,15.29,1.97,190,10,200,중간,0.00072,N/A,False,화학 반응식의 균,"문제: 다음은 P$_2$S$_5$와 물의 화학반응이다. ( ) 에 알맞은 숫자를 차례대로 나열한 것은?\n\nP$_2$S$_5$ + ( )H$_2$O → ( )H$_2$S + ( )H$_3$PO$_4$

선택지:
1. 2, 8, 5
2. 2, 5, 8
3. 8, 5, 2
4. 8, 2, 5

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,위험물기능사,2012,5,위험물의 화학적 성질 및 취급,31,KMnO$_4$ 의 지정수량은 몇 kg 인가?,text_only,O,50,100,300,1000,4,9,Claude Sonnet 4.5,300,2,6,22.22,17.1,1.8,93,10,103,중간,0.000429,N/A,False,과망간산칼륨(,"문제: KMnO$_4$ 의 지정수량은 몇 kg 인가?

선택지:
1. 50
2. 100
3. 300
4. 1000

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,위험물기능사,2007,2,위험물의 화학적 성질 및 취급,36,다음 3류 위험물의 지정수량이 잘못된 것은?,text_only,O,(C$_2$H$_5$)$_3$AI : 10 kg,Ca : 50 kg,LiH : 300 kg,AIP : 500 kg,4,10,Claude Sonnet 4.5,300,2,6,20.0,18.72,1.62,128,10,138,중간,0.000534,3,False,3류 위험물의 지,"문제: 다음 3류 위험물의 지정수량이 잘못된 것은?

선택지:
1. (C$_2$H$_5$)$_3$AI : 10 kg
2. Ca : 50 kg
3. LiH : 300 kg
4. AIP : 500 kg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
11,위험물기능사,2010,4,위험물의 화학적 성질 및 취급,40,금속리튬이 물과 반응하였을 때 생성되는 물질은?,text_only,,수산화리튬과 수소,수산화리튬과 산소,수소화리튬과 물,산화리튬과 물,1,11,Claude Sonnet 4.5,300,2,7,18.18,20.41,1.69,128,10,138,중간,0.000534,N/A,False,금속 리튬과 물,"문제: 금속리튬이 물과 반응하였을 때 생성되는 물질은?

선택지:
1. 수산화리튬과 수소
2. 수산화리튬과 산소
3. 수소화리튬과 물
4. 산화리튬과 물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
12,위험물기능사,2002,4,화재 예방과 소화방법,17,"공기 중에서 흡습성이 큰 물질로,화재시 물을 사용해서는 안 되는 것은?",text_only,,NaClO$_4$,Na$_2$O$_2$,KNO$_3$,KMnO$_3$,2,12,Claude Sonnet 4.5,300,2,8,16.67,22.27,1.86,134,10,144,중간,0.000552,N/A,False,각 물질의 특성을,"문제: 공기 중에서 흡습성이 큰 물질로,화재시 물을 사용해서는 안 되는 것은?

선택지:
1. NaClO$_4$
2. Na$_2$O$_2$
3. KNO$_3$
4. KMnO$_3$

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
13,위험물기능사,2008,5,위험물의 화학적 성질 및 취급,46,옥내저장탱크의 상호간에는 특별한 경우를 제외하고 최소 몇 m 이상의 간격을 유지하여야 하는가?,text_only,O,0.1,0.2,0.3,0.5,4,13,Claude Sonnet 4.5,300,3,8,23.08,29.87,7.6,131,5,136,중간,0.000468,4,True,4,"문제: 옥내저장탱크의 상호간에는 특별한 경우를 제외하고 최소 몇 m 이상의 간격을 유지하여야 하는가?

선택지:
1. 0.1
2. 0.2
3. 0.3
4. 0.5

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
14,위험물기능사,2008,5,위험물의 화학적 성질 및 취급,35,다음 중 제3류 위험물의 품명이 아닌것은?,text_only,O,금속의 수소화물,유기금속화합물,황린,금속분,4,14,Claude Sonnet 4.5,300,4,8,28.57,31.74,1.86,108,5,113,중간,0.000399,4,True,4,"문제: 다음 중 제3류 위험물의 품명이 아닌것은?

선택지:
1. 금속의 수소화물
2. 유기금속화합물
3. 황린
4. 금속분

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
15,위험물기능사,2015,4,화재 예방과 소화방법,17,혼합물인 위험물이 복수의 성상을 가지는 경우에 적용하는 품명에 관한 설명으로 틀린 것은?,text_only,O,산화성고체의 성상 및 가연성고체의 성상을 가지는 경우 : 산화성고체의 품명,산화성고체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명,가연성고체의 성상과 자연발화성 물질의 성상 및 금수성물질의 성상을 가지는 경우 : 자연발화성물질 및 금수성물질의 품명,인화성액체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명,1,15,Claude Sonnet 4.5,300,4,8,26.67,33.47,1.73,311,5,316,중간,0.001008,3,False,3,"문제: 혼합물인 위험물이 복수의 성상을 가지는 경우에 적용하는 품명에 관한 설명으로 틀린 것은?

선택지:
1. 산화성고체의 성상 및 가연성고체의 성상을 가지는 경우 : 산화성고체의 품명
2. 산화성고체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명
3. 가연성고체의 성상과 자연발화성 물질의 성상 및 금수성물질의 성상을 가지는 경우 : 자연발화성물질 및 금수성물질의 품명
4. 인화성액체의 성상 및 자기반응성물질의 성상을 가지는 경우 : 자기반응성물질의 품명

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
16,위험물기능사,2015,5,위험물의 화학적 성질 및 취급,36,위험물안전관리법령에서 정한 주유취급소의 고정주유설비 주위에 보유하여야 하는 주유공지의 기준은?,text_only,O,너비 10m 이상 길이 6m 이상,너비 15m 이상 길이 6m 이상,너비 10m 이상 길이 10m 이상,너비 15m 이상 길이 10m 이상,2,16,Claude Sonnet 4.5,300,4,8,25.0,35.17,1.7,184,5,189,중간,0.000627,1,False,1,"문제: 위험물안전관리법령에서 정한 주유취급소의 고정주유설비 주위에 보유하여야 하는 주유공지의 기준은?

선택지:
1. 너비 10m 이상 길이 6m 이상
2. 너비 15m 이상 길이 6m 이상
3. 너비 10m 이상 길이 10m 이상
4. 너비 15m 이상 길이 10m 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
17,위험물기능사,2014,5,화재 예방과 소화방법,17,BCF(Bromochlorodifluoromethane) 소화약제의 화학식으로 옳은 것은?,text_only,,CCl$_4$,CH$_2$ClBr,CF$_3$Br,CF$_2$ClBr,4,17,Claude Sonnet 4.5,300,4,9,23.53,36.95,1.78,123,10,133,중간,0.000519,N/A,False,BCF(Bromochlorodiflu,"문제: BCF(Bromochlorodifluoromethane) 소화약제의 화학식으로 옳은 것은?

선택지:
1. CCl$_4$
2. CH$_2$ClBr
3. CF$_3$Br
4. CF$_2$ClBr

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
18,위험물기능사,2007,4,위험물의 화학적 성질 및 취급,53,다음 중 제5류 위험물 품명에 속하지 않는 것은?,text_only,O,질산에스테르류,디아조화합물,아크릴로니트릴류,니트로화합물,3,18,Claude Sonnet 4.5,300,5,9,27.78,38.75,1.8,120,5,125,중간,0.000435,3,True,3,"문제: 다음 중 제5류 위험물 품명에 속하지 않는 것은?

선택지:
1. 질산에스테르류
2. 디아조화합물
3. 아크릴로니트릴류
4. 니트로화합물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
19,위험물기능사,2015,2,위험물의 화학적 성질 및 취급,48,휘발유의 일반적인 성질에 관한 설명으로 틀린 것은?,text_only,,인화점이 0℃보다 낮다.,위험물안전관리법령상 제1석유류에 해당한다.,전기에 대해 비전도성 물질이다.,순수한 것은 청색이나 안전을 위해 검은색으로 착색해서 사용해야 한다.,4,19,Claude Sonnet 4.5,300,6,9,31.58,41.09,2.34,187,5,192,중간,0.000636,4,True,4,"문제: 휘발유의 일반적인 성질에 관한 설명으로 틀린 것은?

선택지:
1. 인화점이 0℃보다 낮다.
2. 위험물안전관리법령상 제1석유류에 해당한다.
3. 전기에 대해 비전도성 물질이다.
4. 순수한 것은 청색이나 안전을 위해 검은색으로 착색해서 사용해야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
20,위험물기능사,2003,2,위험물의 화학적 성질 및 취급,22,"염소산칼륨과 혼합했을 때 발화, 폭발의 위험이 있는 물질은?",text_only,,금,유리,석면,목탄,4,20,Claude Sonnet 4.5,300,7,9,35.0,42.84,1.76,109,5,114,중간,0.000402,4,True,4,"문제: 염소산칼륨과 혼합했을 때 발화, 폭발의 위험이 있는 물질은?

선택지:
1. 금
2. 유리
3. 석면
4. 목탄

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
21,위험물기능사,2009,2,위험물의 화학적 성질 및 취급,30,물에 의한 냉각소화가 가능한 것은?,text_only,,유황,철분,부틸리튬,마그네슘,1,21,Claude Sonnet 4.5,300,8,9,38.1,43.81,0.97,99,5,104,중간,0.000372,1,True,1,"문제: 물에 의한 냉각소화가 가능한 것은?

선택지:
1. 유황
2. 철분
3. 부틸리튬
4. 마그네슘

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
22,위험물기능사,2008,5,화재 예방과 소화방법,20,물질의 일반적인 연소형태에 대한 설명으로 틀린 것은?,text_only,,파라핀의 연소는 표면연소이다,산소공급원을 가진 물질이 연소하는 것을 자기연소라고 한다,목재의 연소는 분해연소이다,공기와 접촉하는 표면에서 연소가 일어나는 것을 표면연소라고 한다,1,22,Claude Sonnet 4.5,300,9,9,40.91,45.7,1.89,191,10,201,중간,0.000723,1,True,"1

파라핀은 고","문제: 물질의 일반적인 연소형태에 대한 설명으로 틀린 것은?

선택지:
1. 파라핀의 연소는 표면연소이다
2. 산소공급원을 가진 물질이 연소하는 것을 자기연소라고 한다
3. 목재의 연소는 분해연소이다
4. 공기와 접촉하는 표면에서 연소가 일어나는 것을 표면연소라고 한다

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
23,위험물기능사,2009,5,화재 예방과 소화방법,8,고정식의 포소화설비의 기준에서 포헤드방식의 포헤드는 방호대상물의 표면적 몇 m$^2$ 당 1개 이상의 헤드를 설치하여야 하는가?,text_only,O,3,9,15,30,2,23,Claude Sonnet 4.5,300,10,9,43.48,47.31,1.6,143,5,148,중간,0.000504,2,True,2,"문제: 고정식의 포소화설비의 기준에서 포헤드방식의 포헤드는 방호대상물의 표면적 몇 m$^2$ 당 1개 이상의 헤드를 설치하여야 하는가?

선택지:
1. 3
2. 9
3. 15
4. 30

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
24,위험물기능사,2008,1,화재 예방과 소화방법,5,위험물의 운반용기 및 적재방법에 대한 기준으로 틀린 것은?,text_only,O,운반용기의 재질은 나무도 된다.,고체위험물은 운반용기 내용적의 90% 이하의 수납율로 수납한다.,액체위험물은 운반용기 내용적의 98% 이하의 수납율로 수납하되 55°C 의 온도에서 누설되지 아니하도록 충분한 공간용적을 유지한다.,알킬알루미늄은 운반용기 내용적의 90% 이하의 수납율로 수납하되 50°C 의 온도에서 5% 이상의 공간 용적을 유지하도록 한다.,2,24,Claude Sonnet 4.5,300,11,9,45.83,49.23,1.92,290,5,295,중간,0.000945,2,True,2,"문제: 위험물의 운반용기 및 적재방법에 대한 기준으로 틀린 것은?

선택지:
1. 운반용기의 재질은 나무도 된다.
2. 고체위험물은 운반용기 내용적의 90% 이하의 수납율로 수납한다.
3. 액체위험물은 운반용기 내용적의 98% 이하의 수납율로 수납하되 55°C 의 온도에서 누설되지 아니하도록 충분한 공간용적을 유지한다.
4. 알킬알루미늄은 운반용기 내용적의 90% 이하의 수납율로 수납하되 50°C 의 온도에서 5% 이상의 공간 용적을 유지하도록 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
25,위험물기능사,2013,2,위험물의 화학적 성질 및 취급,55,염소산나트륨의 성상에 대한 설명으로 옳지 않은 것은?,text_only,,자신은 불연성 물질이지만 강한 산화제이다.,유리를 녹이므로 철제 용기에 저장한다.,열분해 하여 산소를 발생한다.,산과 반응하면 유독성의 이산화염소를 발생한다.,2,25,Claude Sonnet 4.5,300,12,9,48.0,51.09,1.86,181,5,186,중간,0.000618,2,True,2,"문제: 염소산나트륨의 성상에 대한 설명으로 옳지 않은 것은?

선택지:
1. 자신은 불연성 물질이지만 강한 산화제이다.
2. 유리를 녹이므로 철제 용기에 저장한다.
3. 열분해 하여 산소를 발생한다.
4. 산과 반응하면 유독성의 이산화염소를 발생한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
26,위험물기능사,2015,4,위험물의 화학적 성질 및 취급,21,황의 성상에 관한 설명으로 틀린 것은?,text_only,,연소할 때 발생하는 가스는 냄새를 가지고 있으나 인체에 무해하다.,미분이 공기 중에 떠 있을때 분진 폭발의 우려가 있다.,용융된 황을 물에서 급냉하면 고무 상황을 얻을 수 있다.,연소할 때 아황산가스를 발생한다.,1,26,Claude Sonnet 4.5,300,13,9,50.0,52.23,1.15,206,10,216,중간,0.000768,1,True,"1

황(S)이 연","문제: 황의 성상에 관한 설명으로 틀린 것은?

선택지:
1. 연소할 때 발생하는 가스는 냄새를 가지고 있으나 인체에 무해하다.
2. 미분이 공기 중에 떠 있을때 분진 폭발의 우려가 있다.
3. 용융된 황을 물에서 급냉하면 고무 상황을 얻을 수 있다.
4. 연소할 때 아황산가스를 발생한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
