ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,소방설비산업기사(전기),2017,1,소방원론,1,제3종 분말소화약제의 주성분으로 옳은 것은?,text_only,,탄산수소나트륨,제1인산암모늄,탄산수소칼륨,탄산수소칼륨과 요소,2,1,Claude Opus 4.1,300,0,1,0.0,1.42,1.42,128,10,138,높음,0.00267,N/A,False,제3종 분말소화약,"문제: 제3종 분말소화약제의 주성분으로 옳은 것은?

선택지:
1. 탄산수소나트륨
2. 제1인산암모늄
3. 탄산수소칼륨
4. 탄산수소칼륨과 요소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,소방설비산업기사(전기),2014,4,소방원론,13,질소가 가연물이 될 수 없는 이유를 가장 옳게 설명한 것은?,text_only,,산화반응 시 흡열반응을 하기 때문에,연소 시 화염이 없기 때문에,산소와 반응하지 않기 때문에,산화반응 시 발열반응을 하기 때문에,1,2,Claude Opus 4.1,300,0,2,0.0,2.85,1.42,167,10,177,높음,0.003255,N/A,False,질소(N₂)가,"문제: 질소가 가연물이 될 수 없는 이유를 가장 옳게 설명한 것은?

선택지:
1. 산화반응 시 흡열반응을 하기 때문에
2. 연소 시 화염이 없기 때문에
3. 산소와 반응하지 않기 때문에
4. 산화반응 시 발열반응을 하기 때문에

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,소방설비산업기사(전기),2015,1,소방전기회로,24,PID동작에 대한 설명으로 옳은 것은?,text_only,,사이클링을 제거할 수 있으나 오프셋이 생기게 된다.,응답속도는 빨리할 수 있으나 오프셋이 제거되지 않는다.,사이클링과 오프셋이 제거되고 응답속도가 빠르며 안정성이 있다.,오프셋은 제거되나 제어동작에 큰 부동작 시간이 있으면 응답이 늦어지게 된다.,3,3,Claude Opus 4.1,300,0,3,0.0,4.53,1.69,226,10,236,높음,0.00414,N/A,False,PID 제어는 비례(,"문제: PID동작에 대한 설명으로 옳은 것은?

선택지:
1. 사이클링을 제거할 수 있으나 오프셋이 생기게 된다.
2. 응답속도는 빨리할 수 있으나 오프셋이 제거되지 않는다.
3. 사이클링과 오프셋이 제거되고 응답속도가 빠르며 안정성이 있다.
4. 오프셋은 제거되나 제어동작에 큰 부동작 시간이 있으면 응답이 늦어지게 된다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,소방설비산업기사(전기),2011,1,소방관계법규,46,위험물의 임시저장 취급기준을 정하고 있는 것은?,text_only,O,대통령령,국무총리령,행정안전부령,시ㆍ도 조례,4,4,Claude Opus 4.1,300,0,4,0.0,5.89,1.35,115,10,125,높음,0.002475,N/A,False,위험물의 임시저장,"문제: 위험물의 임시저장 취급기준을 정하고 있는 것은?

선택지:
1. 대통령령
2. 국무총리령
3. 행정안전부령
4. 시ㆍ도 조례

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,소방설비산업기사(전기),2015,1,소방관계법규,45,특정소방대상물에 사용되는 방염대상물품이 아닌 것은?,text_only,O,암막·무대막,창문에 설치하는 커튼류,전시용 합판,종이벽지,4,5,Claude Opus 4.1,300,1,4,20.0,7.42,1.53,123,10,133,높음,0.002595,4,True,"정답: 4

방염대","문제: 특정소방대상물에 사용되는 방염대상물품이 아닌 것은?

선택지:
1. 암막·무대막
2. 창문에 설치하는 커튼류
3. 전시용 합판
4. 종이벽지

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,소방설비산업기사(전기),2016,4,소방관계법규,41,소방시설의 하자 발생 통보를 받은 공사업자는 며칠 이내에 하자를 보수하거나 보수 일정을 기록한 하자보수계획을 관계인에게 서면으로 알려야 하는가?,text_only,O,1일,2일,3일,7일,3,6,Claude Opus 4.1,300,1,4,16.67,8.95,1.53,153,9,162,높음,0.00297,2,False,정답: 2,"문제: 소방시설의 하자 발생 통보를 받은 공사업자는 며칠 이내에 하자를 보수하거나 보수 일정을 기록한 하자보수계획을 관계인에게 서면으로 알려야 하는가?

선택지:
1. 1일
2. 2일
3. 3일
4. 7일

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,소방설비산업기사(전기),2020,"1,2",소방전기회로,40,다이오드를 이용한 정류회로에서 여러 개의 다이오드를 직렬로 연결하여 사용하면?,text_only,,다이오드를 높은 주파수에서 사용할 수 있다.,부하 출력의 맥동률을 감소시킬 수 있다.,다이오드를 과전압으로부터 보호할 수 있다.,다이오드를 과전류로부터 보호할 수 있다.,3,7,Claude Opus 4.1,300,1,5,14.29,10.67,1.73,201,10,211,높음,0.003765,N/A,False,정류회로에서 다이,"문제: 다이오드를 이용한 정류회로에서 여러 개의 다이오드를 직렬로 연결하여 사용하면?

선택지:
1. 다이오드를 높은 주파수에서 사용할 수 있다.
2. 부하 출력의 맥동률을 감소시킬 수 있다.
3. 다이오드를 과전압으로부터 보호할 수 있다.
4. 다이오드를 과전류로부터 보호할 수 있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,소방설비산업기사(전기),2006,1,소방전기회로,21,목표값이 시간에 관계없이 일정한 제어는?,text_only,,정치제어,추종제어,비율제어,프로그래밍제어,1,8,Claude Opus 4.1,300,2,5,25.0,12.0,1.33,106,5,111,높음,0.001965,1,True,1,"문제: 목표값이 시간에 관계없이 일정한 제어는?

선택지:
1. 정치제어
2. 추종제어
3. 비율제어
4. 프로그래밍제어

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,소방설비산업기사(전기),2010,4,소방원론,12,화재의 분류에서 A급 화재에 속하는 것은?,text_only,,유류,목재,전기,가스,2,9,Claude Opus 4.1,300,3,5,33.33,13.32,1.32,95,5,100,높음,0.0018,2,True,2,"문제: 화재의 분류에서 A급 화재에 속하는 것은?

선택지:
1. 유류
2. 목재
3. 전기
4. 가스

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,소방설비산업기사(전기),2009,2,소방원론,18,제1석유류는 어떤 위험물에 속하는가?,text_only,,산화성 액체,인화성 액체,자기반응성 물질,금수성 물질,2,10,Claude Opus 4.1,300,4,5,40.0,14.72,1.4,111,5,116,높음,0.00204,2,True,2,"문제: 제1석유류는 어떤 위험물에 속하는가?

선택지:
1. 산화성 액체
2. 인화성 액체
3. 자기반응성 물질
4. 금수성 물질

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
